destination,vol,people
Russia,1,12653331
Ukraine,0.396583161,5018098
Kazakhstan,0.19553041,2474111
Uzbekistan,0.100147621,1267201
Belarus,0.062554437,791522
USA,0.015067495,190654
Tajikistan,0.02873275,363565
Latvia,0.03739782,473207
Kyrgyzstan,0.027595421,349174
Estonia,0.022401769,283457
Israel,0.013904481,175938
Republic of Moldova,0.017827005,225571
Lithuania,0.012522236,158448
Turkmenistan,0.009351214,118324
Georgia,0.011940729,151090
Afghanistan,1,7679582
Iran,0.51829735,3980307
Pakistan,0.439473529,3374973
Saudi Arabia,0.021648965,166255
India,1,6619431
Pakistan,0.425753815,2818248
USA,0.068043009,450406
Saudi Arabia,0.136940471,906468
United Arab Emirates,0.069234652,458294
Nepal,0.055800869,369370
United Kingdom,0.060356547,399526
Kuwait,0.056679041,375183
Oman,0.023046392,152554
Canada,0.025174369,166640
Ukraine,1,5545517
Russia,0.595421852,3301922
Poland,0.079107503,438692
Kazakhstan,0.064207359,356063
Belarus,0.047217419,261845
USA,0.027808228,154211
Israel,0.030309347,168081
Republic of Moldova,0.043948472,243717
Uzbekistan,0.03249706,180213
Bangladesh,1,5450443
India,0.802715486,4375155
Saudi Arabia,0.087952484,479380
United Arab Emirates,0.028414021,154869
Kuwait,0.023261045,126783
United Kingdom,0.018783794,102380
