destination,vol,people
India,1,13221963
United Arab Emirates,0.220380136,2913858
USA,0.134948494,1784284
Saudi Arabia,0.119440283,1579235
Pakistan,0.146978554,1943345
Oman,0.035789391,473206
Kuwait,0.051077665,675347
United Kingdom,0.051742393,684136
Canada,0.039168919,517890
Qatar,0.040910264,540914
Australia,0.024921413,329510
Nepal,0.034880297,461186
Bahrain,0.019657822,259915
Italy,0.009756418,128999
Malaysia,0.009007513,119097
Singapore,0.009405336,124357
Mexico,1,12415222
USA,0.980140508,12168662
Russia,1,10118680
Ukraine,0.322750695,3265811
Kazakhstan,0.218593235,2211875
Germany,0.084717177,857226
Uzbekistan,0.090293596,913652
Belarus,0.068029822,688372
USA,0.040092087,405679
Tajikistan,0.023534888,238142
Estonia,0.015290631,154721
Latvia,0.01616871,163606
Israel,0.010984437,111148
Kyrgyzstan,0.012540865,126897
China,1,8714648
USA,0.22065722,1922950
Japan,0.078850689,687156
Canada,0.070225441,611990
Australia,0.042635113,371550
Singapore,0.04197496,365797
Italy,0.022339055,194677
United Kingdom,0.017808637,155196
Spain,0.017776736,154918
Bangladesh,0.018388809,160252
France,0.011857966,103338
India,0.011475277,100003
Bangladesh,1,6319871
India,0.451802576,2855334
United Arab Emirates,0.145472115,919365
Saudi Arabia,0.127927453,808485
Malaysia,0.055605882,351422
Kuwait,0.040834852,258071
United Kingdom,0.033162228,209581
Qatar,0.026799598,169370
USA,0.025242129,159527
Oman,0.017225193,108861
