destination,vol,people
Russia,1,10664764
Ukraine,0.351235339,3745842
Kazakhstan,0.190616783,2032883
Uzbekistan,0.100072257,1067247
Germany,0.08474421,903777
Belarus,0.066387873,708011
USA,0.03270724,348815
Tajikistan,0.023638498,252099
Latvia,0.02201202,234753
Kyrgyzstan,0.019915209,212391
Estonia,0.017719098,188970
Israel,0.01520465,162154
Mexico,1,9562878
USA,0.984068708,9410529
India,1,7928051
Pakistan,0.265013305,2101039
USA,0.132254068,1048517
Saudi Arabia,0.123484574,978992
United Arab Emirates,0.115523727,915878
Nepal,0.068565906,543594
United Kingdom,0.057030915,452144
Kuwait,0.052807935,418664
Oman,0.042113881,333881
Canada,0.040254282,319138
China,1,5884919
USA,0.229139093,1348465
Canada,0.070036988,412162
Japan,0.057027123,335600
Singapore,0.042515114,250198
Australia,0.024586575,144690
United Kingdom,0.02448173,144073
Bangladesh,0.020848375,122691
Ukraine,1,5596518
Russia,0.632864756,3541839
Poland,0.057359415,321013
USA,0.050413311,282139
Kazakhstan,0.044362048,248273
Belarus,0.041850844,234219
Israel,0.029352358,164271
Germany,0.027741714,155257
Uzbekistan,0.023412236,131027
Republic of Moldova,0.019835012,111007
