destination,vol,people
Russia,1,11587959
Ukraine,0.375854972,4355392
Kazakhstan,0.194468845,2253497
Uzbekistan,0.10027331,1161963
Germany,0.042332563,490548
Belarus,0.064702248,749767
USA,0.023210904,268967
Tajikistan,0.02540991,294449
Latvia,0.030548952,354000
Kyrgyzstan,0.024566708,284678
Estonia,0.020384435,236214
Israel,0.015008251,173915
Republic of Moldova,0.013138897,152253
Lithuania,0.01049555,121622
India,1,7153439
Pakistan,0.330733791,2365884
USA,0.104332615,746337
Saudi Arabia,0.12996672,929709
United Arab Emirates,0.093361109,667853
Nepal,0.072074145,515578
United Kingdom,0.059032306,422284
Kuwait,0.046463946,332377
Oman,0.039559574,282987
Canada,0.033555189,240035
Mexico,1,6949276
USA,0.982540483,6827945
Ukraine,1,5606133
Russia,0.621653821,3485074
Poland,0.066938655,375267
Kazakhstan,0.053899542,302168
Belarus,0.044242975,248032
USA,0.038806607,217555
Israel,0.030495709,170963
Republic of Moldova,0.029338227,164474
Uzbekistan,0.027355755,153360
Bangladesh,1,5423528
India,0.76096869,4127135
Saudi Arabia,0.090586238,491297
United Arab Emirates,0.040547592,219911
United Kingdom,0.023003661,124761
Kuwait,0.020290114,110044
